antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
frozenset({0}),frozenset({17}),0.17973333333333333,0.18773333333333334,0.03933333333333333,0.21884272997032642,1.1657105644726193,0.005591395555555552,1.0398247546691992
frozenset({0}),frozenset({24}),0.17973333333333333,0.1784,0.038266666666666664,0.2129080118694362,1.1934305598062567,0.006202239999999998,1.043842412818096
frozenset({24}),frozenset({0}),0.1784,0.17973333333333333,0.038266666666666664,0.21449925261584452,1.1934305598062567,0.006202239999999998,1.0442595623215984
frozenset({1}),frozenset({9}),0.17906666666666668,0.19866666666666666,0.03986666666666667,0.22263588979895754,1.1206504520081757,0.0042920888888888925,1.0308339719029374
frozenset({1}),frozenset({26}),0.17906666666666668,0.18693333333333334,0.03866666666666667,0.21593447505584512,1.1551416283301272,0.005193137777777773,1.036988160810383
frozenset({1}),frozenset({28}),0.17906666666666668,0.19106666666666666,0.0388,0.21667907669396871,1.1340495988867867,0.004586328888888887,1.0326972116603295
frozenset({2}),frozenset({10}),0.1832,0.1896,0.03866666666666667,0.21106259097525473,1.1131993194897403,0.003931946666666672,1.0272044280442805
frozenset({2}),frozenset({22}),0.1832,0.18586666666666668,0.0388,0.21179039301310043,1.1394748548050597,0.004749226666666662,1.0328893813481073
frozenset({3}),frozenset({7}),0.18893333333333334,0.18453333333333333,0.03986666666666667,0.21100917431192662,1.143474571777059,0.005002168888888887,1.0335565891472869
frozenset({7}),frozenset({3}),0.18453333333333333,0.18893333333333334,0.03986666666666667,0.2160404624277457,1.143474571777059,0.005002168888888887,1.0345772043010752
frozenset({9}),frozenset({3}),0.19866666666666666,0.18893333333333334,0.0424,0.21342281879194633,1.1296197183765684,0.004865244444444444,1.0311342434584756
frozenset({3}),frozenset({9}),0.18893333333333334,0.19866666666666666,0.0424,0.22441778405081156,1.1296197183765684,0.004865244444444444,1.033202305125872
frozenset({12}),frozenset({3}),0.18146666666666667,0.18893333333333334,0.03866666666666667,0.213078618662748,1.1277979110590048,0.004381564444444444,1.0306832244008715
frozenset({26}),frozenset({3}),0.18693333333333334,0.18893333333333334,0.0396,0.21184022824536378,1.1212432687651575,0.004282062222222223,1.0290637707390649
frozenset({4}),frozenset({9}),0.1852,0.19866666666666666,0.0416,0.22462203023758098,1.1306478032093004,0.0048069333333333325,1.0334744661095636
frozenset({10}),frozenset({4}),0.1896,0.1852,0.04253333333333333,0.22433192686357245,1.2112955014231774,0.007419413333333333,1.0504493200362646
frozenset({4}),frozenset({10}),0.1852,0.1896,0.04253333333333333,0.2296616270698344,1.2112955014231772,0.007419413333333333,1.0520052336448598
frozenset({5}),frozenset({6}),0.18413333333333334,0.18293333333333334,0.039066666666666666,0.2121650977552498,1.159794630586278,0.005382542222222217,1.0371039215686273
frozenset({6}),frozenset({5}),0.18293333333333334,0.18413333333333334,0.039066666666666666,0.21355685131195334,1.159794630586278,0.005382542222222217,1.037413407476058
frozenset({5}),frozenset({7}),0.18413333333333334,0.18453333333333333,0.03986666666666667,0.2165097755249819,1.1732827430905812,0.005887928888888887,1.0408128157732592
frozenset({7}),frozenset({5}),0.18453333333333333,0.18413333333333334,0.03986666666666667,0.2160404624277457,1.1732827430905812,0.005887928888888887,1.0406999692780337
frozenset({5}),frozenset({22}),0.18413333333333334,0.18586666666666668,0.038933333333333334,0.2114409847936278,1.1375949684018711,0.004709084444444442,1.0324317110498928
frozenset({11}),frozenset({6}),0.1752,0.18293333333333334,0.037866666666666667,0.21613394216133944,1.181490208607905,0.005816746666666664,1.0423549514563106
frozenset({26}),frozenset({6}),0.18693333333333334,0.18293333333333334,0.0396,0.21184022824536378,1.1580187404083297,0.005403662222222223,1.0366764404223228
frozenset({6}),frozenset({26}),0.18293333333333334,0.18693333333333334,0.0396,0.2164723032069971,1.1580187404083295,0.005403662222222223,1.037699968992248
frozenset({6}),frozenset({31}),0.18293333333333334,0.17946666666666666,0.038533333333333336,0.21064139941690962,1.1737076490541027,0.005702897777777778,1.0394937519236689
frozenset({31}),frozenset({6}),0.17946666666666666,0.18293333333333334,0.038533333333333336,0.2147102526002972,1.1737076490541027,0.005702897777777778,1.0404652160201828
frozenset({9}),frozenset({7}),0.19866666666666666,0.18453333333333333,0.04253333333333333,0.21409395973154363,1.1601912557706484,0.005872711111111116,1.0376134358098492
frozenset({7}),frozenset({9}),0.18453333333333333,0.19866666666666666,0.04253333333333333,0.2304913294797688,1.1601912557706484,0.005872711111111116,1.0413571205007826
frozenset({7}),frozenset({27}),0.18453333333333333,0.19226666666666667,0.0392,0.21242774566473988,1.1048599809192434,0.00372039111111111,1.0255990214067279
frozenset({29}),frozenset({7}),0.18226666666666666,0.18453333333333333,0.03986666666666667,0.21872713972201904,1.1852988062970686,0.006232391111111117,1.043766791510612
frozenset({7}),frozenset({29}),0.18453333333333333,0.18226666666666666,0.03986666666666667,0.2160404624277457,1.1852988062970686,0.006232391111111117,1.043081044546851
frozenset({8}),frozenset({9}),0.18173333333333333,0.19866666666666666,0.04066666666666666,0.22377109317681584,1.1263645629705497,0.004562311111111113,1.0323415248897292
frozenset({8}),frozenset({10}),0.18173333333333333,0.1896,0.0388,0.21349963316214235,1.1260529175218479,0.0043433600000000044,1.0303873134328358
frozenset({8}),frozenset({18}),0.18173333333333333,0.1832,0.0384,0.21129860601614084,1.1533766703937818,0.00510645333333333,1.035626418604651
frozenset({8}),frozenset({33}),0.18173333333333333,0.19626666666666667,0.0396,0.2179016874541453,1.1102327825448979,0.0039318044444444505,1.027662789243277
frozenset({13}),frozenset({9}),0.17786666666666667,0.19866666666666666,0.038933333333333334,0.21889055472263869,1.10179809424147,0.0035971555555555576,1.0258912348048626
frozenset({19}),frozenset({9}),0.182,0.19866666666666666,0.040933333333333335,0.22490842490842491,1.1320893871229443,0.0047760000000000025,1.0338563327032135
frozenset({24}),frozenset({9}),0.1784,0.19866666666666666,0.039066666666666666,0.21898355754857995,1.1022662292713756,0.0036245333333333324,1.0260133971291865
frozenset({25}),frozenset({9}),0.18146666666666667,0.19866666666666666,0.0412,0.22703894195444527,1.1428134662136507,0.005148622222222225,1.036705956907478
frozenset({9}),frozenset({27}),0.19866666666666666,0.19226666666666667,0.042666666666666665,0.21476510067114093,1.1170168204116206,0.0044696888888888855,1.028651851851852
frozenset({27}),frozenset({9}),0.19226666666666667,0.19866666666666666,0.042666666666666665,0.2219140083217753,1.1170168204116206,0.0044696888888888855,1.0298775995246583
frozenset({29}),frozenset({9}),0.18226666666666666,0.19866666666666666,0.0408,0.22384784198975863,1.126750882498785,0.0045896888888888945,1.0324436066603833
frozenset({9}),frozenset({31}),0.19866666666666666,0.17946666666666666,0.0436,0.21946308724832217,1.222862670402984,0.007945955555555557,1.0512421897391804
